model,group,strict_errors,strategy_bad_partial_recall,strategy_bad_full_recall,strategy_ok_partial_recall,strategy_ok_full_recall,topology_wrong_overlap,retrieval_incomplete_overlap,full_recall_answer_wrong_overlap,format_wrong_overlap
base,bridge,56,26,1,12,17,27,38,18,6
base,compare,32,7,22,0,3,29,7,25,8
exact_only_s50,bridge,60,36,0,14,10,36,50,10,11
exact_only_s50,compare,33,9,24,0,0,33,9,24,6
grpo_s100,bridge,49,9,0,14,26,9,23,26,6
grpo_s100,compare,33,1,1,6,25,2,7,26,3
routed_teachers,bridge,46,13,0,14,19,13,27,19,8
routed_teachers,compare,30,1,1,5,23,2,6,24,1
serial_opd_s50,bridge,57,17,1,12,27,18,29,28,9
serial_opd_s50,compare,30,5,20,0,5,25,5,25,4
serial_opd_s100,bridge,55,23,0,13,19,23,36,19,13
serial_opd_s100,compare,33,1,1,5,26,2,6,27,2
mopd_s50,bridge,52,15,2,11,24,17,26,26,10
mopd_s50,compare,31,2,3,3,23,5,5,26,0
mopd_s100,bridge,55,14,0,15,26,14,29,26,8
mopd_s100,compare,30,2,1,5,22,3,7,23,3
