model,group,n,exact,mean_f1,strategy,recall,format,avg_calls,exact_and_strategy
base,all,200,0.560,0.687444,0.405,0.8400,0.930,1.875,0.245
base,bridge,100,0.440,0.590443,0.630,0.7450,0.940,1.860,0.340
base,compare,100,0.680,0.784444,0.180,0.9350,0.920,1.890,0.150
exact_only_s50,all,200,0.535,0.656944,0.235,0.7525,0.910,1.680,0.115
exact_only_s50,bridge,100,0.400,0.534777,0.470,0.6150,0.890,1.540,0.230
exact_only_s50,compare,100,0.670,0.779111,0.000,0.8900,0.930,1.820,0.000
grpo_s100,all,200,0.590,0.720095,0.915,0.8775,0.955,2.065,0.560
grpo_s100,bridge,100,0.510,0.653411,0.870,0.8250,0.940,2.090,0.470
grpo_s100,compare,100,0.670,0.786778,0.960,0.9300,0.970,2.040,0.650
routed_teachers,all,200,0.620,0.744055,0.895,0.8725,0.955,2.080,0.590
routed_teachers,bridge,100,0.540,0.663332,0.810,0.8100,0.920,2.140,0.480
routed_teachers,compare,100,0.700,0.824778,0.980,0.9350,0.990,2.020,0.700
serial_opd_s50,all,200,0.565,0.689740,0.530,0.8700,0.935,2.090,0.310
serial_opd_s50,bridge,100,0.430,0.580650,0.810,0.7950,0.910,2.160,0.420
serial_opd_s50,compare,100,0.700,0.798830,0.250,0.9450,0.960,2.020,0.200
serial_opd_s100,all,200,0.560,0.698333,0.825,0.8325,0.925,1.970,0.510
serial_opd_s100,bridge,100,0.450,0.596554,0.690,0.7300,0.870,1.880,0.370
serial_opd_s100,compare,100,0.670,0.800111,0.960,0.9350,0.980,2.060,0.650
mopd_s50,all,200,0.585,0.711706,0.830,0.8725,0.950,2.105,0.525
mopd_s50,bridge,100,0.480,0.613078,0.760,0.8050,0.900,2.170,0.410
mopd_s50,compare,100,0.690,0.810333,0.900,0.9400,1.000,2.040,0.640
mopd_s100,all,200,0.575,0.700948,0.890,0.8625,0.945,2.045,0.550
mopd_s100,bridge,100,0.450,0.582563,0.830,0.8000,0.920,2.070,0.420
mopd_s100,compare,100,0.700,0.819333,0.950,0.9250,0.970,2.020,0.680
